Host Country,Year,Age,Primary %,Secondary %,Tertiary %,COB
Sweden,'07,25 to 54,28.9,37.6,33.5,Foreign country
Sweden,'07,25 to 54,13.8,53.1,33.1,Reporting country
Sweden,'07,30 to 34,16.8,30.3,52.9,EU-28
Sweden,'07,30 to 34,29.1,36.6,34.2,Extra-EU-28
Sweden,'07,30 to 34,26.1,35.1,38.8,Foreign country
Sweden,'07,30 to 34,7.8,50.8,41.4,Reporting country
Sweden,'08,25 to 54,20.5,39.3,40.2,EU-28
Sweden,'08,25 to 54,31.6,33.9,34.5,Extra-EU-28
Sweden,'08,25 to 54,28.3,35.5,36.2,Foreign country
Sweden,'08,25 to 54,13.2,53.2,33.7,Reporting country
Sweden,'08,30 to 34,13,28.2,58.8,EU-28
Sweden,'08,30 to 34,29,34,37,Extra-EU-28
Sweden,'08,30 to 34,25.1,32.6,42.3,Foreign country
Sweden,'08,30 to 34,7.8,50,42.1,Reporting country
Sweden,'09,25 to 54,19.4,38.6,42,EU-28
Sweden,'09,25 to 54,31.9,34.4,33.7,Extra-EU-28
Sweden,'09,25 to 54,28.5,35.5,35.9,Foreign country
Sweden,'09,25 to 54,12.2,52.8,34.9,Reporting country
Sweden,'09,30 to 34,14.2,26.9,58.9,EU-28
Sweden,'09,30 to 34,31.5,30.5,38,Extra-EU-28
Sweden,'09,30 to 34,27.7,29.7,42.6,Foreign country
Sweden,'09,30 to 34,8.2,47.5,44.3,Reporting country
Sweden,'10,25 to 54,18.4,37.7,44,EU-28
Sweden,'10,25 to 54,31.7,32.9,35.4,Extra-EU-28
Sweden,'10,25 to 54,28.3,34.1,37.6,Foreign country
Sweden,'10,25 to 54,11.7,52.6,35.7,Reporting country
Sweden,'10,25 to 54,15,49,36,Total
Sweden,'10,30 to 34,14.7,23.8,61.5,EU-28
Sweden,'10,30 to 34,32.4,29.4,38.2,Extra-EU-28
Sweden,'10,30 to 34,28.6,28.2,43.2,Foreign country
Sweden,'10,30 to 34,8.8,45.3,45.9,Reporting country
Sweden,'10,30 to 34,12.9,41.8,45.3,Total
Sweden,'11,25 to 54,18.2,37.4,44.4,EU-28
Sweden,'11,25 to 54,32.4,31.9,35.6,Extra-EU-28
Sweden,'11,25 to 54,28.9,33.3,37.8,Foreign country
Sweden,'11,25 to 54,11.3,51.9,36.8,Reporting country
Sweden,'11,25 to 54,14.9,48.1,37,Total
Sweden,'11,30 to 34,13.6,22.1,64.3,EU-28
Sweden,'11,30 to 34,31.5,29.4,39.2,Extra-EU-28
Sweden,'11,30 to 34,27.7,27.9,44.5,Foreign country
Sweden,'11,30 to 34,9.3,43,47.6,Reporting country
Sweden,'11,30 to 34,13.4,39.8,46.8,Total
Sweden,'12,25 to 54,18.8,37.2,44,EU-28
Sweden,'12,25 to 54,32.6,32.2,35.2,Extra-EU-28
Sweden,'12,25 to 54,29.1,33.4,37.4,Foreign country
Sweden,'12,25 to 54,10.5,51.5,38,Reporting country
Sweden,'12,25 to 54,14.4,47.7,37.9,Total
Sweden,'12,30 to 34,15.8,23.6,60.6,EU-28
Sweden,'12,30 to 34,30.8,29,40.3,Extra-EU-28
Sweden,'12,30 to 34,27.5,27.8,44.8,Foreign country
Sweden,'12,30 to 34,9.6,41.3,49.1,Reporting country
Sweden,'12,30 to 34,13.7,38.3,47.9,Total
Sweden,'13,25 to 54,18,34,48.1,EU-28
Sweden,'13,25 to 54,32.9,31.1,35.9,Extra-EU-28
Sweden,'13,25 to 54,29.2,31.8,39,Foreign country
Sweden,'13,25 to 54,9.6,50.9,39.6,Reporting country
Sweden,'13,25 to 54,13.8,46.7,39.4,Total
Sweden,'13,30 to 34,17.7,19.4,62.9,EU-28
Sweden,'13,30 to 34,32.2,28,39.8,Extra-EU-28
Sweden,'13,30 to 34,28.9,26,45.1,Foreign country
Sweden,'13,30 to 34,8.7,41.7,49.6,Reporting country
Sweden,'13,30 to 34,13.8,37.8,48.3,Total
Sweden,'14,25 to 54,17.3,32.4,50.3,EU-28
Sweden,'14,25 to 54,32.6,29.1,38.3,Extra-EU-28
Sweden,'14,25 to 54,28.9,29.9,41.2,Foreign country
Sweden,'14,25 to 54,9,49.6,41.5,Reporting country
Sweden,'14,25 to 54,13.5,45.2,41.4,Total
Sweden,'14,30 to 34,14.8,21.2,64,EU-28
Sweden,'14,30 to 34,33.2,26.1,40.7,Extra-EU-28
Sweden,'14,30 to 34,29.3,25,45.6,Foreign country
Sweden,'14,30 to 34,7.8,40.6,51.6,Reporting country
Sweden,'14,30 to 34,13.6,36.5,49.9,Total
Sweden,'15,25 to 54,17.1,30.3,52.6,EU-28
Sweden,'15,25 to 54,32.8,27.6,39.6,Extra-EU-28
Sweden,'15,25 to 54,29.2,28.2,42.6,Foreign country
Sweden,'15,25 to 54,8.2,49,42.8,Reporting country
Sweden,'15,25 to 54,13.1,44.2,42.7,Total
Sweden,'15,30 to 34,15,22.6,62.3,EU-28
Sweden,'15,30 to 34,30.8,25.4,43.8,Extra-EU-28
Sweden,'15,30 to 34,27.6,24.9,47.5,Foreign country
Sweden,'15,30 to 34,7.4,41.2,51.4,Reporting country
Sweden,'15,30 to 34,13,36.7,50.2,Total
Sweden,'16,25 to 54,13.1,28.3,58.6,EU-28
Sweden,'16,25 to 54,32.8,26.2,41,Extra-EU-28
