Host Country,Year,Sex,AROPE %,COB
Slovenia,'07,Males,14.6,Reporting country
Slovenia,'07,Total,22.1,Foreign country
Slovenia,'07,Total,17.2,Reporting country
Slovenia,'08,Females,25.4,Foreign country
Slovenia,'08,Females,20.6,Reporting country
Slovenia,'08,Males,22.7,Foreign country
Slovenia,'08,Males,16.6,Reporting country
Slovenia,'08,Total,24,Foreign country
Slovenia,'08,Total,18.6,Reporting country
Slovenia,'09,Females,26.6,EU-28
Slovenia,'09,Females,25.4,Extra-EU-28
Slovenia,'09,Females,25.9,Foreign country
Slovenia,'09,Females,19.2,Reporting country
Slovenia,'09,Males,17.6,EU-28
Slovenia,'09,Males,23.9,Extra-EU-28
Slovenia,'09,Males,21.6,Foreign country
Slovenia,'09,Males,14.3,Reporting country
Slovenia,'09,Total,22.5,EU-28
Slovenia,'09,Total,24.7,Extra-EU-28
Slovenia,'09,Total,23.8,Foreign country
Slovenia,'09,Total,16.8,Reporting country
Slovenia,'10,Females,27.4,EU-28
Slovenia,'10,Females,28,Extra-EU-28
Slovenia,'10,Females,27.8,Foreign country
Slovenia,'10,Females,20.5,Reporting country
Slovenia,'10,Males,19.1,EU-28
Slovenia,'10,Males,27.9,Extra-EU-28
Slovenia,'10,Males,24.9,Foreign country
Slovenia,'10,Males,15.6,Reporting country
Slovenia,'10,Total,23.6,EU-28
Slovenia,'10,Total,27.9,Extra-EU-28
Slovenia,'10,Total,26.3,Foreign country
Slovenia,'10,Total,18.1,Reporting country
Slovenia,'11,Females,26.9,EU-28
Slovenia,'11,Females,29.8,Extra-EU-28
Slovenia,'11,Females,28.7,Foreign country
Slovenia,'11,Females,21,Reporting country
Slovenia,'11,Males,16.8,EU-28
Slovenia,'11,Males,29.4,Extra-EU-28
Slovenia,'11,Males,25.6,Foreign country
Slovenia,'11,Males,16.3,Reporting country
Slovenia,'11,Total,22.3,EU-28
Slovenia,'11,Total,29.6,Extra-EU-28
Slovenia,'11,Total,27,Foreign country
Slovenia,'11,Total,18.7,Reporting country
Slovenia,'12,Females,30.6,EU-28
Slovenia,'12,Females,34.9,Extra-EU-28
Slovenia,'12,Females,33.3,Foreign country
Slovenia,'12,Females,20.7,Reporting country
Slovenia,'12,Males,16.8,EU-28
Slovenia,'12,Males,36.9,Extra-EU-28
Slovenia,'12,Males,31.5,Foreign country
Slovenia,'12,Males,16.8,Reporting country
Slovenia,'12,Total,24.4,EU-28
Slovenia,'12,Total,36,Extra-EU-28
Slovenia,'12,Total,32.3,Foreign country
Slovenia,'12,Total,18.8,Reporting country
Slovenia,'13,Females,33.2,EU-28
Slovenia,'13,Females,37.8,Extra-EU-28
Slovenia,'13,Females,36.2,Foreign country
Slovenia,'13,Females,20.7,Reporting country
Slovenia,'13,Males,21,EU-28
Slovenia,'13,Males,35.4,Extra-EU-28
Slovenia,'13,Males,31.8,Foreign country
Slovenia,'13,Males,18.1,Reporting country
Slovenia,'13,Total,27.8,EU-28
Slovenia,'13,Total,36.4,Extra-EU-28
Slovenia,'13,Total,33.8,Foreign country
Slovenia,'13,Total,19.4,Reporting country
Slovenia,'14,Females,33,EU-28
Slovenia,'14,Females,38.7,Extra-EU-28
Slovenia,'14,Females,36.8,Foreign country
Slovenia,'14,Females,20.9,Reporting country
Slovenia,'14,Males,19.5,EU-28
Slovenia,'14,Males,37.4,Extra-EU-28
Slovenia,'14,Males,32.8,Foreign country
Slovenia,'14,Males,17.7,Reporting country
Slovenia,'14,Total,26.7,EU-28
Slovenia,'14,Total,38,Extra-EU-28
Slovenia,'14,Total,34.7,Foreign country
Slovenia,'14,Total,19.4,Reporting country
Slovenia,'15,Females,31.1,EU-28
Slovenia,'15,Females,39.5,Extra-EU-28
Slovenia,'15,Females,36.9,Foreign country
Slovenia,'15,Females,20.2,Reporting country
Slovenia,'15,Males,23.1,EU-28
Slovenia,'15,Males,34.3,Extra-EU-28
Slovenia,'15,Males,31.3,Foreign country
Slovenia,'15,Males,15.8,Reporting country
Slovenia,'15,Total,27.1,EU-28
Slovenia,'15,Total,36.7,Extra-EU-28
Slovenia,'15,Total,33.9,Foreign country
Slovenia,'15,Total,18.1,Reporting country
Slovakia,'06,Females,33.6,Foreign country
Slovakia,'06,Females,26.8,Reporting country
Slovakia,'06,Males,23.9,Foreign country
Slovakia,'06,Males,24.4,Reporting country
Slovakia,'06,Total,28.9,Foreign country
Slovakia,'06,Total,25.7,Reporting country
Slovakia,'07,Females,21.6,Foreign country
Slovakia,'07,Females,22.6,Reporting country
Slovakia,'07,Males,21.5,Foreign country
Slovakia,'07,Males,17.8,Reporting country
Slovakia,'07,Total,21.5,Foreign country
Slovakia,'07,Total,20.4,Reporting country
Slovakia,'08,Females,23.3,Foreign country
Slovakia,'08,Females,21.4,Reporting country
Slovakia,'08,Males,24.1,Foreign country
Slovakia,'08,Males,17.7,Reporting country
Slovakia,'08,Total,23.6,Foreign country
Slovakia,'08,Total,19.7,Reporting country
Slovakia,'09,Females,33.1,EU-28
Slovakia,'09,Females,31.4,Foreign country
Slovakia,'09,Females,20.1,Reporting country
Slovakia,'09,Males,14.8,EU-28
Slovakia,'09,Males,13.5,Foreign country
Slovakia,'09,Males,17.1,Reporting country
Slovakia,'09,Total,25,EU-28
Slovakia,'09,Total,11.8,Extra-EU-28
Slovakia,'09,Total,23.4,Foreign country
Slovakia,'09,Total,18.7,Reporting country
Slovakia,'10,Females,25.8,EU-28
Slovakia,'10,Females,28.2,Foreign country
Slovakia,'10,Females,20.6,Reporting country
Slovakia,'10,Males,16.1,EU-28
Slovakia,'10,Males,17.6,Foreign country
Slovakia,'10,Males,18.6,Reporting country
Slovakia,'10,Total,20.8,EU-28
Slovakia,'10,Total,37,Extra-EU-28
Slovakia,'10,Total,22.9,Foreign country
Slovakia,'10,Total,19.6,Reporting country
Slovakia,'11,Females,23.1,EU-28
Slovakia,'11,Females,25.3,Foreign country
Slovakia,'11,Females,20.5,Reporting country
Slovakia,'11,Males,24.4,EU-28
Slovakia,'11,Males,22,Foreign country
Slovakia,'11,Males,18.4,Reporting country
Slovakia,'11,Total,23.8,EU-28
