Host Country,Year,NEET %,COB
Italy,'12,32.6,EU-28
Italy,'12,33.4,Extra-EU-28
Italy,'12,33.2,Foreign country
Italy,'12,22.5,Reporting country
Italy,'12,23.8,Total
Italy,'13,35.2,EU-28
Italy,'13,35.9,Extra-EU-28
Italy,'13,35.7,Foreign country
Italy,'13,24.6,Reporting country
Italy,'13,26,Total
Italy,'14,32.7,EU-28
Italy,'14,35.1,Extra-EU-28
Italy,'14,34.4,Foreign country
Italy,'14,25.1,Reporting country
Italy,'14,26.2,Total
Italy,'15,33.4,EU-28
Italy,'15,36,Extra-EU-28
Italy,'15,35.2,Foreign country
Italy,'15,24.3,Reporting country
Italy,'15,25.7,Total
Italy,'16,31.2,EU-28
Italy,'16,33.6,Extra-EU-28
Italy,'16,32.9,Foreign country
Italy,'16,23.1,Reporting country
Italy,'16,24.3,Total
Ireland,'06,12.2,EU-28
Ireland,'06,15.6,Extra-EU-28
Ireland,'06,13.1,Foreign country
Ireland,'06,10.8,Reporting country
Ireland,'07,13.4,EU-28
Ireland,'07,14.3,Extra-EU-28
Ireland,'07,13.6,Foreign country
Ireland,'07,11.4,Reporting country
Ireland,'08,18.2,EU-28
Ireland,'08,15.2,Extra-EU-28
Ireland,'08,17.5,Foreign country
Ireland,'08,15.8,Reporting country
Ireland,'09,22.5,EU-28
Ireland,'09,18.5,Extra-EU-28
Ireland,'09,21.5,Foreign country
Ireland,'09,20,Reporting country
Ireland,'10,23.3,EU-28
Ireland,'10,20.2,Extra-EU-28
Ireland,'10,22.5,Foreign country
Ireland,'10,21.2,Reporting country
Ireland,'10,21.5,Total
Ireland,'11,23.5,EU-28
Ireland,'11,20.1,Extra-EU-28
Ireland,'11,22.6,Foreign country
Ireland,'11,21.8,Reporting country
Ireland,'11,22,Total
Ireland,'12,21.5,EU-28
Ireland,'12,20.3,Extra-EU-28
Ireland,'12,21.1,Foreign country
Ireland,'12,21.3,Reporting country
Ireland,'12,21.3,Total
Ireland,'13,19.6,EU-28
Ireland,'13,15.1,Extra-EU-28
Ireland,'13,18,Foreign country
Ireland,'13,18.7,Reporting country
Ireland,'13,18.6,Total
Ireland,'14,19.1,EU-28
Ireland,'14,15.4,Extra-EU-28
Ireland,'14,17.6,Foreign country
Ireland,'14,18.2,Reporting country
Ireland,'14,18.1,Total
Ireland,'15,19.4,EU-28
Ireland,'15,16.2,Extra-EU-28
Ireland,'15,17.9,Foreign country
Ireland,'15,16.5,Reporting country
Ireland,'15,16.8,Total
Ireland,'16,17.7,EU-28
Ireland,'16,15,Extra-EU-28
Ireland,'16,16.4,Foreign country
Ireland,'16,14.9,Reporting country
Ireland,'16,15.2,Total
Iceland,'06,5.1,Reporting country
Iceland,'07,4.5,Reporting country
Iceland,'08,5.1,Reporting country
Iceland,'09,13,EU-28
Iceland,'09,14.6,Foreign country
Iceland,'09,9.1,Reporting country
Iceland,'10,14.6,EU-28
Iceland,'10,15.1,Foreign country
Iceland,'10,9.5,Reporting country
Iceland,'10,10.1,Total
Iceland,'11,13.2,EU-28
Iceland,'11,12.2,Foreign country
Iceland,'11,7,Reporting country
Iceland,'11,7.6,Total
Iceland,'12,11.9,EU-28
Iceland,'12,10.2,Foreign country
Iceland,'12,6.5,Reporting country
Iceland,'12,7,Total
Iceland,'13,8.2,Foreign country
Iceland,'13,6.1,Reporting country
Iceland,'13,6.4,Total
Iceland,'14,7.1,Foreign country
Iceland,'14,6.7,Reporting country
Iceland,'14,6.9,Total
Iceland,'15,8.6,Foreign country
Iceland,'15,4.8,Reporting country
Iceland,'15,5.3,Total
Iceland,'16,4.7,Reporting country
Iceland,'16,4.6,Total
Hungary,'06,14.6,EU-28
Hungary,'06,14.7,Foreign country
Hungary,'06,16.5,Reporting country
Hungary,'07,17.7,EU-28
Hungary,'07,14.4,Foreign country
Hungary,'07,15.7,Reporting country
Hungary,'08,18.2,EU-28
Hungary,'08,17.5,Foreign country
Hungary,'08,15.8,Reporting country
Hungary,'09,18.2,EU-28
Hungary,'09,21,Foreign country
Hungary,'09,17.8,Reporting country
Hungary,'10,18.2,EU-28
Hungary,'10,18.3,Foreign country
Hungary,'10,17.7,Reporting country
Hungary,'10,17.7,Total
Hungary,'11,20.9,EU-28
Hungary,'11,18.8,Foreign country
Hungary,'11,17.6,Reporting country
Hungary,'11,17.6,Total
Hungary,'12,22.3,EU-28
Hungary,'12,20.6,Foreign country
Hungary,'12,18.7,Reporting country
Hungary,'12,18.7,Total
Hungary,'13,25.8,EU-28
Hungary,'13,27.4,Foreign country
Hungary,'13,18.3,Reporting country
Hungary,'13,18.4,Total
Hungary,'14,21.6,EU-28
Hungary,'14,19.5,Foreign country
Hungary,'14,16.4,Reporting country
Hungary,'14,16.4,Total
Hungary,'15,21.8,EU-28
