Host Country,Year,Sex,AROPE %,Citizen
Slovenia,'08,Total,38,Foreign country
Slovenia,'08,Total,19.1,Reporting country
Slovenia,'09,Females,27.7,EU-28
Slovenia,'09,Females,48.2,Extra-EU-28
Slovenia,'09,Females,43.7,Foreign country
Slovenia,'09,Females,19.7,Reporting country
Slovenia,'09,Males,24.1,EU-28
Slovenia,'09,Males,47,Extra-EU-28
Slovenia,'09,Males,39.3,Foreign country
Slovenia,'09,Males,14.9,Reporting country
Slovenia,'09,Total,25.4,EU-28
Slovenia,'09,Total,47.6,Extra-EU-28
Slovenia,'09,Total,41.3,Foreign country
Slovenia,'09,Total,17.3,Reporting country
Slovenia,'10,Females,13.4,EU-28
Slovenia,'10,Females,49.8,Extra-EU-28
Slovenia,'10,Females,41.1,Foreign country
Slovenia,'10,Females,21.1,Reporting country
Slovenia,'10,Males,26.6,EU-28
Slovenia,'10,Males,55.3,Extra-EU-28
Slovenia,'10,Males,50.4,Foreign country
Slovenia,'10,Males,16,Reporting country
Slovenia,'10,Total,20.2,EU-28
Slovenia,'10,Total,53.2,Extra-EU-28
Slovenia,'10,Total,46.6,Foreign country
Slovenia,'10,Total,18.6,Reporting country
Slovenia,'11,Females,36.9,EU-28
Slovenia,'11,Females,52.7,Extra-EU-28
Slovenia,'11,Females,49.4,Foreign country
Slovenia,'11,Females,21.4,Reporting country
Slovenia,'11,Males,30.8,EU-28
Slovenia,'11,Males,45.5,Extra-EU-28
Slovenia,'11,Males,43.5,Foreign country
Slovenia,'11,Males,16.7,Reporting country
Slovenia,'11,Total,33.7,EU-28
Slovenia,'11,Total,48.1,Extra-EU-28
Slovenia,'11,Total,45.7,Foreign country
Slovenia,'11,Total,19.1,Reporting country
Slovenia,'12,Females,43.7,EU-28
Slovenia,'12,Females,56.6,Extra-EU-28
Slovenia,'12,Females,54.1,Foreign country
Slovenia,'12,Females,21.3,Reporting country
Slovenia,'12,Males,26.7,EU-28
Slovenia,'12,Males,50.6,Extra-EU-28
Slovenia,'12,Males,48.3,Foreign country
Slovenia,'12,Males,17.4,Reporting country
Slovenia,'12,Total,35.9,EU-28
Slovenia,'12,Total,52.6,Extra-EU-28
Slovenia,'12,Total,50.4,Foreign country
Slovenia,'12,Total,19.4,Reporting country
Slovenia,'13,Females,57.8,EU-28
Slovenia,'13,Females,54.4,Extra-EU-28
Slovenia,'13,Females,55,Foreign country
Slovenia,'13,Females,21.5,Reporting country
Slovenia,'13,Males,32.7,EU-28
Slovenia,'13,Males,48.4,Extra-EU-28
Slovenia,'13,Males,46.7,Foreign country
Slovenia,'13,Males,18.7,Reporting country
Slovenia,'13,Total,46,EU-28
Slovenia,'13,Total,50.6,Extra-EU-28
Slovenia,'13,Total,50,Foreign country
Slovenia,'13,Total,20.1,Reporting country
Slovenia,'14,Females,46.7,EU-28
Slovenia,'14,Females,56.1,Extra-EU-28
Slovenia,'14,Females,54.2,Foreign country
Slovenia,'14,Females,21.7,Reporting country
Slovenia,'14,Males,21.8,EU-28
Slovenia,'14,Males,50.4,Extra-EU-28
Slovenia,'14,Males,46.7,Foreign country
Slovenia,'14,Males,18.3,Reporting country
Slovenia,'14,Total,34.5,EU-28
Slovenia,'14,Total,52.6,Extra-EU-28
Slovenia,'14,Total,49.7,Foreign country
Slovenia,'14,Total,20.1,Reporting country
Slovenia,'15,Females,44.1,EU-28
Slovenia,'15,Females,53.2,Extra-EU-28
Slovenia,'15,Females,51.3,Foreign country
Slovenia,'15,Females,21.1,Reporting country
Slovenia,'15,Males,33.7,EU-28
Slovenia,'15,Males,45.6,Extra-EU-28
Slovenia,'15,Males,43.7,Foreign country
Slovenia,'15,Males,16.5,Reporting country
Slovenia,'15,Total,38.5,EU-28
Slovenia,'15,Total,48.4,Extra-EU-28
Slovenia,'15,Total,46.7,Foreign country
Slovenia,'15,Total,18.9,Reporting country
Slovakia,'06,Females,26.9,Reporting country
Slovakia,'06,Males,37.7,Foreign country
Slovakia,'06,Males,24.3,Reporting country
Slovakia,'06,Total,36.3,Foreign country
Slovakia,'06,Total,25.7,Reporting country
Slovakia,'07,Females,19.8,Foreign country
Slovakia,'07,Females,22.6,Reporting country
Slovakia,'07,Males,26,Foreign country
Slovakia,'07,Males,17.8,Reporting country
Slovakia,'07,Total,22.9,Foreign country
Slovakia,'07,Total,20.4,Reporting country
Slovakia,'08,Females,21.5,Reporting country
Slovakia,'08,Males,17.7,Reporting country
Slovakia,'08,Total,24.6,Foreign country
Slovakia,'08,Total,19.8,Reporting country
Slovakia,'09,Females,20.3,Reporting country
Slovakia,'09,Males,22.9,EU-28
Slovakia,'09,Males,19.7,Foreign country
Slovakia,'09,Males,17,Reporting country
Slovakia,'09,Total,18.4,EU-28
Slovakia,'09,Total,16.1,Foreign country
Slovakia,'09,Total,18.8,Reporting country
Slovakia,'10,Females,20.6,Reporting country
Slovakia,'10,Males,13.6,EU-28
Slovakia,'10,Males,18.8,Foreign country
Slovakia,'10,Males,18.6,Reporting country
Slovakia,'10,Total,20.8,EU-28
Slovakia,'10,Total,26.3,Foreign country
Slovakia,'10,Total,19.6,Reporting country
Slovakia,'11,Females,20.6,Reporting country
Slovakia,'11,Males,31.9,Foreign country
Slovakia,'11,Males,18.4,Reporting country
Slovakia,'11,Total,32.7,EU-28
Slovakia,'11,Total,34.1,Foreign country
Slovakia,'11,Total,19.5,Reporting country
Slovakia,'12,Females,20.3,Reporting country
Slovakia,'12,Males,17.8,EU-28
Slovakia,'12,Males,19.2,Foreign country
Slovakia,'12,Males,18.3,Reporting country
Slovakia,'12,Total,20.1,EU-28
Slovakia,'12,Total,22.5,Foreign country
Slovakia,'12,Total,19.3,Reporting country
Slovakia,'13,Females,19.1,Reporting country
Slovakia,'13,Males,17.6,EU-28
Slovakia,'13,Males,20.7,Foreign country
Slovakia,'13,Males,17.8,Reporting country
Slovakia,'13,Total,13.4,EU-28
Slovakia,'13,Total,15.9,Foreign country
Slovakia,'13,Total,18.5,Reporting country
Slovakia,'14,Females,17.5,Reporting country
Slovakia,'14,Males,17,Reporting country
Slovakia,'14,Total,27,EU-28
Slovakia,'14,Total,16.7,Foreign country
Slovakia,'14,Total,17.2,Reporting country
Slovakia,'15,Females,16.8,Reporting country
Slovakia,'15,Males,17,Reporting country
Slovakia,'15,Total,33.2,EU-28
Slovakia,'15,Total,45,Foreign country
Slovakia,'15,Total,16.9,Reporting country
Serbia,'13,Females,41.9,Extra-EU-28
Serbia,'13,Females,41.9,Foreign country
Serbia,'13,Males,41.5,Extra-EU-28
Serbia,'13,Males,41.5,Foreign country
Serbia,'13,Total,41.7,Extra-EU-28
Serbia,'13,Total,41.7,Foreign country
Serbia,'14,Females,56.6,EU-28
Serbia,'14,Females,48.3,Extra-EU-28
Serbia,'14,Females,52.1,Foreign country
Serbia,'14,Females,42.5,Reporting country
Serbia,'14,Males,58.8,EU-28
Serbia,'14,Males,41.7,Extra-EU-28
Serbia,'14,Males,49.7,Foreign country
Serbia,'14,Males,43.3,Reporting country
Serbia,'14,Total,57.5,EU-28
Serbia,'14,Total,45.6,Extra-EU-28
Serbia,'14,Total,51.1,Foreign country
Serbia,'14,Total,42.9,Reporting country
