Host Country,Year,Lifelong Learning %,COB
Portugal,'13,12.7,Extra-EU-28
Portugal,'13,12.8,Foreign country
Portugal,'13,11.3,Reporting country
Portugal,'13,11.5,Total
Portugal,'14,12,EU-28
Portugal,'14,11.9,Extra-EU-28
Portugal,'14,11.9,Foreign country
Portugal,'14,11.3,Reporting country
Portugal,'14,11.4,Total
Portugal,'15,13,EU-28
Portugal,'15,13.6,Extra-EU-28
Portugal,'15,13.4,Foreign country
Portugal,'15,11.3,Reporting country
Portugal,'15,11.5,Total
Portugal,'16,13,EU-28
Portugal,'16,12.3,Extra-EU-28
Portugal,'16,12.5,Foreign country
Portugal,'16,11.2,Reporting country
Portugal,'16,11.3,Total
Poland,'06,10.6,Foreign country
Poland,'06,5.6,Reporting country
Poland,'06,5.7,Total
Poland,'07,6.2,Reporting country
Poland,'07,6.2,Total
Poland,'08,5.8,Reporting country
Poland,'08,5.8,Total
Poland,'09,11.9,Foreign country
Poland,'09,5.9,Reporting country
Poland,'09,5.9,Total
Poland,'10,13.2,Foreign country
Poland,'10,6.5,Reporting country
Poland,'10,6.5,Total
Poland,'11,5.6,Reporting country
Poland,'11,5.6,Total
Poland,'12,5.7,Reporting country
Poland,'12,5.7,Total
Poland,'13,5.5,Reporting country
Poland,'13,5.5,Total
Poland,'14,11.4,Extra-EU-28
Poland,'14,10.5,Foreign country
Poland,'14,5,Reporting country
Poland,'14,5.1,Total
Poland,'15,9.6,Foreign country
Poland,'15,4.5,Reporting country
Poland,'15,4.5,Total
Poland,'16,7.8,Foreign country
Poland,'16,4.6,Reporting country
Poland,'16,4.6,Total
Norway,'06,22,EU-28
Norway,'06,24.2,Extra-EU-28
Norway,'06,23.5,Foreign country
Norway,'06,21.3,Reporting country
Norway,'06,21.5,Total
Norway,'07,22,EU-28
Norway,'07,22.9,Extra-EU-28
Norway,'07,22.6,Foreign country
Norway,'07,20.4,Reporting country
Norway,'07,20.7,Total
Norway,'08,23.2,EU-28
Norway,'08,23.9,Extra-EU-28
Norway,'08,23.6,Foreign country
Norway,'08,22.1,Reporting country
Norway,'08,22.3,Total
Norway,'09,20.3,EU-28
Norway,'09,23.7,Extra-EU-28
Norway,'09,22.5,Foreign country
Norway,'09,20.9,Reporting country
Norway,'09,21.1,Total
Norway,'10,19.5,EU-28
Norway,'10,23.1,Extra-EU-28
Norway,'10,21.8,Foreign country
Norway,'10,20.4,Reporting country
Norway,'10,20.6,Total
Norway,'11,18.4,EU-28
Norway,'11,21.9,Extra-EU-28
Norway,'11,20.6,Foreign country
Norway,'11,21.1,Reporting country
Norway,'11,21.1,Total
Norway,'12,19.4,EU-28
Norway,'12,25.8,Extra-EU-28
Norway,'12,23.2,Foreign country
Norway,'12,23.1,Reporting country
Norway,'12,23.1,Total
Norway,'13,18.2,EU-28
Norway,'13,26.4,Extra-EU-28
Norway,'13,22.9,Foreign country
Norway,'13,23.4,Reporting country
Norway,'13,23.3,Total
Norway,'14,18.2,EU-28
Norway,'14,25.3,Extra-EU-28
Norway,'14,22.2,Foreign country
Norway,'14,22.7,Reporting country
Norway,'14,22.6,Total
Norway,'15,18.6,EU-28
Norway,'15,24.4,Extra-EU-28
Norway,'15,21.9,Foreign country
Norway,'15,22.4,Reporting country
Norway,'15,22.3,Total
Norway,'16,16.8,EU-28
Norway,'16,22.4,Extra-EU-28
Norway,'16,20.1,Foreign country
Norway,'16,22.2,Reporting country
Norway,'16,21.8,Total
Netherlands,'06,20.9,EU-28
Netherlands,'06,22,Extra-EU-28
Netherlands,'06,21.8,Foreign country
Netherlands,'06,17.8,Reporting country
Netherlands,'06,18.4,Total
Netherlands,'07,21.6,EU-28
Netherlands,'07,21.9,Extra-EU-28
Netherlands,'07,21.8,Foreign country
Netherlands,'07,19.3,Reporting country
Netherlands,'07,19.7,Total
Netherlands,'08,21.5,EU-28
Netherlands,'08,22.1,Extra-EU-28
Netherlands,'08,22,Foreign country
Netherlands,'08,19.7,Reporting country
Netherlands,'08,20.1,Total
Netherlands,'09,19.2,EU-28
Netherlands,'09,22.7,Extra-EU-28
Netherlands,'09,22,Foreign country
Netherlands,'09,19.7,Reporting country
Netherlands,'09,20.1,Total
Netherlands,'10,20.6,EU-28
Netherlands,'10,23.9,Extra-EU-28
Netherlands,'10,23.3,Foreign country
Netherlands,'10,19.1,Reporting country
Netherlands,'10,19.7,Total
Netherlands,'11,20.5,EU-28
Netherlands,'11,22.6,Extra-EU-28
Netherlands,'11,22.2,Foreign country
